4	4	7	1	5	11	14	9
20	15	21	4	15	28	29	10
33	27	36	11	21	38	41	10
47	36	48	16	31	49	56	10
59	54	63	17	33	68	72	10
74	59	79	21	44	80	88	10
90	75	95	21	48	98	103	10
106	80	110	24	61	110	117	10
121	99	124	28	63	128	135	10
135	102	142	32	74	139	148	10
153	119	155	34	78	159	167	10
166	121	174	37	90	169	179	10
185	139	186	38	95	190	197	10
197	142	204	42	106	201	210	10
215	159	217	47	110	218	229	10
228	161	236	50	122	228	241	10
247	179	248	51	127	249	259	10
259	182	266	55	138	260	272	10
277	199	279	57	142	280	291	10
290	201	298	60	154	290	303	10
309	219	310	64	159	308	321	10
321	222	328	68	170	319	334	10
339	239	341	70	174	339	353	10
352	241	360	73	186	349	365	10
371	259	372	74	191	370	383	10
383	262	390	78	202	381	396	10
401	279	403	83	206	398	415	10
414	281	422	86	218	408	427	10
433	299	434	87	223	429	445	10
445	302	452	91	234	440	458	10
463	319	465	93	238	460	477	10
476	321	484	96	250	470	489	10
495	339	496	100	255	488	507	10
507	342	514	104	266	499	520	10
525	359	527	106	270	519	539	10
538	361	546	109	282	529	551	10
557	379	558	110	287	550	569	10
569	382	576	114	298	561	582	10
587	399	589	119	302	578	601	10
600	401	608	122	314	588	613	10
619	419	620	123	319	609	631	10
631	422	638	127	330	620	644	10
649	439	651	129	334	640	663	10
662	441	670	132	346	650	675	10
681	459	682	136	351	668	693	10
693	462	700	140	362	679	706	10
711	479	713	142	366	699	725	10
724	481	732	145	378	709	737	10
743	499	744	146	383	730	755	10
755	502	762	150	394	741	768	10
773	519	775	155	398	758	787	10
786	521	794	158	410	768	799	10
805	539	806	159	415	789	817	10
817	542	824	163	426	800	830	10
835	559	837	165	430	820	849	10
848	561	856	168	442	830	861	10
867	579	868	172	447	848	879	10
879	582	886	176	458	859	892	10
897	599	899	178	462	879	911	10
910	601	918	181	474	889	923	10
929	619	930	182	479	910	941	10
941	622	948	186	490	921	954	10
959	639	961	191	494	938	973	10
972	641	980	194	506	948	985	10
991	659	992	195	511	969	1003	10
1003	662	1010	199	522	980	1016	10
1021	679	1023	201	526	1000	1035	10
1034	681	1042	204	538	1010	1047	10
1053	699	1054	208	543	1028	1065	10
1065	702	1072	212	554	1039	1078	10
1083	719	1085	214	558	1059	1097	10
1096	721	1104	217	570	1069	1109	10
1115	739	1116	218	575	1090	1127	10
1127	742	1134	222	586	1101	1140	10
1145	759	1147	227	590	1118	1159	10
1158	761	1166	230	602	1128	1171	10
1177	779	1178	231	607	1149	1189	10
1189	782	1196	235	618	1160	1202	10
1207	799	1209	237	622	1180	1221	10
1220	801	1228	240	634	1190	1233	10
1239	819	1240	244	639	1208	1251	10
1251	822	1258	248	650	1219	1264	10
1269	839	1271	250	654	1239	1283	10
1282	841	1290	253	666	1249	1295	10
1301	859	1302	254	671	1270	1313	10
1313	862	1320	258	682	1281	1326	10
1331	879	1333	263	686	1298	1345	10
1344	881	1352	266	698	1308	1357	10
1363	899	1364	267	703	1329	1375	10
1375	902	1382	271	714	1340	1388	10
1393	919	1395	273	718	1360	1407	10
1406	921	1414	276	730	1370	1419	10
1425	939	1426	280	735	1388	1437	10
1437	942	1444	284	746	1399	1450	10
1455	959	1457	286	750	1419	1469	10
1468	961	1476	289	762	1429	1481	10
1487	979	1488	290	767	1450	1499	10
1499	982	1506	294	778	1461	1512	10
1517	999	1519	299	782	1478	1531	10
1530	1001	1538	302	794	1488	1543	10
