4	4	7	1	6	11	17	9
19	15	23	3	15	21	25	10
35	29	31	7	26	34	40	12
45	45	45	11	32	47	51	15
61	59	56	15	41	60	64	16
72	76	69	19	46	76	80	17
84	88	85	25	52	85	91	20
100	105	98	26	58	102	103	21
113	114	109	32	70	111	114	22
123	130	119	37	77	126	128	23
133	142	133	42	83	138	144	23
146	156	149	43	88	152	159	24
163	171	163	43	95	167	171	24
177	183	175	46	104	179	186	24
189	196	190	47	113	191	194	25
204	212	198	51	121	207	209	27
212	225	213	56	128	220	224	27
223	237	228	59	134	232	236	28
239	254	239	62	139	249	249	28
250	262	252	69	149	257	260	28
261	276	263	73	156	271	277	29
273	288	279	74	163	283	290	29
289	306	292	74	170	301	305	30
301	318	306	77	179	313	316	30
313	334	317	82	187	328	334	33
324	346	333	83	194	340	344	35
342	361	341	87	204	354	356	36
351	375	353	94	211	366	372	38
363	389	369	97	216	378	383	42
383	404	378	99	226	393	394	43
393	418	388	105	233	407	409	43
402	430	403	110	240	419	424	43
414	444	418	114	247	431	437	46
430	462	430	116	253	448	454	48
443	473	446	118	264	458	464	49
457	492	456	121	270	475	478	51
469	503	470	125	279	486	491	51
481	519	483	129	285	500	505	55
497	532	495	131	295	513	519	55
508	548	509	134	301	527	531	58
524	560	520	138	313	538	540	61
536	579	527	143	319	557	559	64
545	589	543	148	326	567	571	64
559	603	555	155	333	577	584	68
575	617	568	156	342	590	595	69
589	632	579	158	351	605	612	70
600	646	595	159	358	618	622	71
616	664	605	162	367	636	639	72
622	677	622	167	371	648	650	74
638	689	633	173	379	659	663	76
650	705	646	178	383	673	674	80
666	715	656	186	395	681	687	84
678	734	667	188	400	699	700	85
690	745	680	195	410	709	716	86
699	761	697	195	414	725	729	86
715	769	710	198	429	733	739	86
725	788	720	199	435	752	756	86
735	797	737	202	444	761	765	86
750	817	746	206	449	780	782	90
762	829	760	213	455	790	795	92
776	844	774	215	461	805	809	92
789	855	788	218	471	816	819	92
801	869	798	225	479	827	833	95
814	885	812	226	486	843	845	95
826	900	824	231	490	858	863	95
838	910	842	233	497	868	873	96
856	923	851	235	509	881	886	96
865	939	864	237	516	897	904	97
876	949	882	237	526	907	908	98
892	972	886	243	530	930	933	99
895	979	911	247	531	937	943	99
919	991	921	248	544	949	955	99
929	1008	933	249	550	966	970	102
944	1018	945	252	563	976	982	102
954	1039	957	253	565	997	1002	103
966	1048	977	255	575	1006	1011	103
981	1064	986	259	587	1020	1024	106
990	1080	998	266	595	1032	1037	110
1003	1091	1011	269	607	1042	1046	111
1015	1106	1020	272	616	1057	1061	111
1024	1121	1035	275	619	1072	1077	111
1039	1133	1051	277	626	1084	1087	111
1054	1149	1061	282	633	1099	1104	113
1065	1159	1077	284	644	1109	1114	114
1079	1175	1086	289	653	1122	1127	118
1092	1192	1098	293	658	1137	1142	120
1106	1205	1113	296	666	1149	1152	121
1120	1221	1123	300	674	1165	1167	121
1128	1234	1138	305	677	1178	1182	121
1143	1243	1153	308	686	1187	1192	122
1159	1258	1162	311	696	1201	1205	125
1171	1277	1173	317	702	1217	1222	128
1181	1288	1191	319	708	1228	1231	128
1198	1303	1200	323	717	1243	1246	129
1207	1315	1214	327	725	1255	1259	130
1220	1329	1226	331	733	1268	1272	131
1232	1345	1239	334	737	1284	1288	132
1245	1356	1255	338	744	1294	1298	133
1261	1371	1265	341	753	1309	1314	133
1270	1384	1281	343	759	1322	1326	133
